iter	Passed	Remaining
0	2	1312
1	4	1174
2	6	1113
3	8	1086
4	10	1060
5	12	1048
6	14	1041
7	16	1040
8	18	1033
9	20	1027
10	23	1024
11	25	1018
12	27	1017
13	29	1011
14	31	1012
15	33	1014
16	35	1012
17	37	1009
18	39	1006
19	41	1001
20	43	998
21	45	995
22	48	996
23	50	994
24	52	991
25	54	986
26	56	983
27	58	980
28	60	978
29	62	976
30	64	973
31	66	969
32	68	966
33	70	963
34	72	961
35	74	958
36	76	954
37	78	953
38	80	950
39	82	948
40	84	944
41	86	942
42	88	938
43	90	935
44	92	933
45	94	931
46	96	928
47	98	926
48	100	923
49	102	921
50	103	908
51	105	906
52	107	905
53	109	903
54	111	901
55	113	900
56	115	898
57	117	895
58	119	894
59	121	892
60	123	890
61	125	889
62	127	887
63	129	885
64	131	883
65	133	881
66	136	879
67	138	879
68	140	877
69	142	874
70	144	872
71	146	870
72	148	868
73	150	866
74	152	865
75	154	863
76	156	861
77	158	859
78	160	856
79	162	854
80	164	852
81	166	850
82	168	848
83	170	846
84	173	844
85	175	843
86	177	841
87	179	839
88	181	837
89	183	834
90	185	832
91	187	830
92	189	828
93	191	826
94	193	825
95	195	823
96	197	820
97	199	818
98	201	816
99	203	814
100	205	812
101	207	810
102	209	808
103	212	807
104	213	804
105	216	803
106	218	801
107	220	798
108	222	796
109	224	794
110	226	793
111	228	791
112	230	789
113	232	787
114	234	785
115	236	783
116	238	781
117	240	779
118	243	778
119	245	776
120	247	774
121	249	772
122	251	770
123	253	768
124	255	766
125	257	764
126	259	762
127	261	760
128	263	757
129	265	755
130	267	753
131	269	751
132	271	749
133	273	747
134	275	745
135	277	743
136	279	740
137	281	738
138	283	736
139	285	734
140	287	732
141	289	730
142	291	728
143	293	726
144	296	724
145	298	722
146	300	720
147	302	718
148	304	716
149	306	714
150	308	712
151	310	709
152	312	707
153	314	705
154	316	703
155	318	701
156	320	699
157	321	696
158	323	694
159	325	692
160	327	690
161	329	688
162	332	686
163	334	684
164	336	682
165	338	680
166	340	678
167	342	675
168	344	674
169	346	672
170	348	670
171	350	668
172	352	666
173	354	663
174	356	661
175	358	659
176	360	657
177	362	655
178	364	653
179	366	651
180	368	649
181	370	647
182	372	646
183	375	644
184	377	641
185	379	639
186	381	637
187	383	635
188	385	633
189	387	631
190	390	631
191	393	630
192	395	629
193	397	627
194	400	625
195	402	623
196	404	621
197	406	620
198	408	617
199	410	616
200	412	614
201	414	611
202	416	610
203	419	608
204	421	606
205	423	604
206	425	602
207	427	600
208	429	598
209	431	596
210	433	594
211	435	592
212	437	589
213	440	588
214	442	585
215	444	583
216	446	582
217	448	580
218	450	578
219	452	575
220	454	573
221	456	571
222	458	569
223	460	567
224	462	565
225	464	563
226	467	561
227	469	559
228	471	557
229	473	555
230	475	553
231	477	551
232	479	549
233	481	547
234	483	545
235	485	543
236	487	541
237	489	538
238	491	536
239	493	534
240	495	532
241	497	530
242	499	528
243	501	526
244	503	524
245	505	522
246	508	520
247	510	518
248	512	516
249	514	514
250	516	512
251	518	510
252	520	507
253	522	505
254	524	503
255	526	501
256	528	499
257	530	497
258	532	495
259	534	493
260	536	491
261	538	489
262	540	487
263	542	485
264	544	483
265	547	481
266	549	479
267	551	477
268	553	475
269	555	473
270	557	471
271	559	469
272	561	466
273	563	464
274	566	463
275	568	461
276	570	459
277	572	457
278	574	455
279	576	453
280	578	451
281	580	449
282	583	447
283	585	445
284	587	443
285	589	440
286	591	438
287	593	436
288	595	434
289	597	432
290	599	430
291	602	428
292	604	426
293	606	424
294	608	422
295	610	420
296	612	418
297	614	416
298	616	414
299	618	412
300	620	410
301	622	408
302	624	406
303	626	404
304	629	402
305	630	400
306	633	397
307	635	395
308	637	393
309	639	391
310	641	389
311	643	387
312	645	385
313	647	383
314	649	381
315	652	379
316	654	377
317	656	375
318	658	373
319	660	371
320	662	369
321	664	367
322	666	365
323	668	363
324	670	361
325	673	359
326	675	357
327	677	355
328	679	353
329	681	351
330	683	348
331	685	346
332	687	344
333	689	342
334	691	340
335	693	338
336	695	336
337	697	334
338	699	332
339	701	330
340	703	328
341	705	326
342	707	323
343	709	321
344	711	319
345	713	317
346	716	315
347	718	313
348	720	311
349	722	309
350	724	307
351	726	305
