outcome,biomarker,roc_auc,roc_auc_ci_low,roc_auc_ci_high,pr_auc,pr_auc_ci_low,pr_auc_ci_high,accuracy,accuracy_ci_low,accuracy_ci_high,precision,precision_ci_low,precision_ci_high,recall,recall_ci_low,recall_ci_high,specificity,specificity_ci_low,specificity_ci_high,f1,f1_ci_low,f1_ci_high,ppv,ppv_ci_low,ppv_ci_high,npv,npv_ci_low,npv_ci_high,sensitivity,youden_index,youden_index_ci_low,youden_index_ci_high,youden_threshold,n_samples
Anxiety_14,ACTH,0.462,0.408,0.514,0.352,0.305,0.414,0.401,0.374,0.634,0.383,,,0.934,0.0,0.988,0.074,0.025,1.0,0.543,,,0.383,,,0.647,0.593,0.829,0.934,0.008,0.0,0.092,7.52,481
Anxiety_14,CRP,0.53,0.474,0.588,0.416,0.355,0.492,0.574,0.445,0.64,0.444,0.383,0.554,0.475,0.188,0.907,0.634,0.163,0.893,0.459,0.271,0.553,0.444,0.383,0.554,0.663,0.613,0.75,0.475,0.11,0.041,0.206,2.07,481
Anxiety_14,IL10,0.51,0.454,0.565,0.408,0.349,0.485,0.595,0.449,0.651,0.458,0.388,0.583,0.361,0.164,0.899,0.738,0.174,0.913,0.404,0.246,0.538,0.458,0.388,0.583,0.653,0.606,0.723,0.361,0.099,0.036,0.19,2.594,481
Anxiety_14,IL6,0.528,0.476,0.578,0.427,0.367,0.498,0.609,0.538,0.663,0.474,,,0.251,0.08,0.59,0.829,0.523,0.976,0.329,,,0.474,,,0.643,0.606,0.709,0.251,0.08,0.037,0.174,2.46,481
Anxiety_14,PTC,0.501,0.448,0.552,0.386,0.332,0.454,0.462,0.432,0.634,0.396,0.359,0.62,0.792,0.032,0.869,0.258,0.203,0.99,0.528,0.061,0.573,0.396,0.359,0.62,0.67,0.604,0.755,0.792,0.051,0.013,0.145,205.0,481
Anxiety_14,TNFalpha,0.509,0.453,0.564,0.413,0.356,0.484,0.62,0.553,0.663,0.5,0.407,0.6,0.246,0.184,0.56,0.849,0.549,0.895,0.33,0.262,0.482,0.5,0.407,0.6,0.647,0.606,0.703,0.246,0.095,0.035,0.182,1.62,481
Chronic_pain,ACTH,0.421,0.364,0.479,0.265,0.223,0.323,0.703,0.285,0.732,0.5,,,0.007,0.0,1.0,0.997,0.014,1.0,0.014,,,0.5,,,0.704,0.668,1.0,0.007,0.004,0.0,0.075,102.9,481
Chronic_pain,CRP,0.479,0.422,0.538,0.297,0.245,0.366,0.63,0.31,0.717,0.333,,,0.245,0.037,0.992,0.793,0.044,0.991,0.282,,,0.333,,,0.713,0.681,0.936,0.245,0.038,0.015,0.135,2.86,481
Chronic_pain,IL10,0.5,0.445,0.557,0.3,0.252,0.366,0.511,0.356,0.717,0.317,0.282,0.667,0.559,0.038,0.917,0.491,0.133,0.991,0.405,0.072,0.492,0.317,0.282,0.667,0.725,0.685,0.828,0.559,0.051,0.017,0.161,1.713,481
Chronic_pain,IL6,0.529,0.474,0.583,0.321,0.266,0.391,0.57,0.511,0.697,0.343,,,0.49,0.08,0.653,0.604,0.477,0.965,0.403,,,0.343,,,0.736,0.694,0.797,0.49,0.093,0.029,0.201,1.8,481
Chronic_pain,PTC,0.455,0.397,0.51,0.273,0.227,0.331,0.347,0.297,0.684,0.305,0.268,0.404,0.937,0.079,1.0,0.098,0.029,0.952,0.46,0.135,0.513,0.305,0.268,0.404,0.786,0.703,1.0,0.937,0.035,0.014,0.101,158.0,481
Chronic_pain,TNFalpha,0.498,0.441,0.557,0.319,0.262,0.392,0.624,0.376,0.728,0.339,,,0.28,0.04,0.891,0.769,0.17,0.991,0.307,,,0.339,,,0.716,0.679,0.8,0.28,0.049,0.015,0.145,1.42,481
Depression_18,ACTH,0.437,0.38,0.495,0.204,0.166,0.261,0.767,0.241,0.794,0.25,,,0.009,0.0,0.984,0.992,0.027,1.0,0.018,,,0.25,,,0.771,0.74,0.897,0.009,0.001,0.0,0.078,62.6,481
Depression_18,CRP,0.538,0.472,0.601,0.267,0.211,0.346,0.588,0.393,0.788,0.268,0.225,0.556,0.464,0.1,0.85,0.625,0.264,0.966,0.34,0.159,0.433,0.268,0.225,0.556,0.797,0.76,0.877,0.464,0.089,0.046,0.209,2.1,481
Depression_18,IL10,0.546,0.483,0.608,0.273,0.217,0.354,0.626,0.362,0.757,0.297,0.238,0.433,0.464,0.163,0.885,0.674,0.2,0.938,0.362,0.234,0.433,0.297,0.238,0.433,0.809,0.769,0.867,0.464,0.137,0.058,0.247,2.291,481
Depression_18,IL6,0.531,0.466,0.59,0.303,0.239,0.394,0.738,0.696,0.792,0.395,0.3,0.607,0.273,0.125,0.373,0.876,0.831,0.973,0.323,0.201,0.406,0.395,0.3,0.607,0.802,0.765,0.841,0.273,0.149,0.07,0.238,2.68,481
Depression_18,PTC,0.54,0.48,0.598,0.267,0.214,0.34,0.541,0.333,0.775,0.262,0.219,0.482,0.555,0.148,0.947,0.536,0.158,0.943,0.356,0.209,0.439,0.262,0.219,0.482,0.802,0.768,0.924,0.555,0.091,0.054,0.202,261.0,481
Depression_18,TNFalpha,0.554,0.493,0.618,0.284,0.225,0.367,0.696,0.509,0.738,0.339,0.244,0.432,0.345,0.279,0.708,0.801,0.468,0.843,0.342,0.287,0.44,0.339,0.244,0.432,0.805,0.771,0.858,0.345,0.146,0.07,0.263,1.422,481
